path,disposition,justification,proposed_properties
packages/core/src/parser/parser.test.ts,property-tests,Top-level parser entry tests; ideal for determinism + location-tracking properties at module scope.,determinism: parse(src) is a function; location coverage: every node has loc with file/line/column/offset; crash oracle: parser does not throw on well-formed source
packages/core/src/parser/parser-errors.test.ts,fixed-only,Asserts exact diagnostic codes and messages on malformed input; not generalizable as a property.,n/a
packages/core/src/parser/parser-integration-basic.test.ts,property-tests,Integration-style parser tests over multi-construct programs; round-trip and determinism scale well here.,round-trip: parse(prettyPrint(ast)) alpha-equivalent to ast; determinism on whole modules; location coverage
packages/core/src/parser/parser-integration-patterns.test.ts,property-tests,Patterns appear in let/match/lambda contexts; round-trip catches cross-cutting structural bugs.,round-trip on pattern-bearing programs; structural invariant: pattern-bound names non-empty
packages/core/src/parser/parser-integration-phase4.test.ts,property-tests,Larger integration suite covering newer language features; broad shape invariants apply.,round-trip on integration programs; determinism; location coverage
packages/core/src/parser/declarations.test.ts,property-tests,Declarations are the cleanest round-trip target -- single declaration in a module re-renders to the same AST.,round-trip on top-level declarations; whitespace invariance: blank lines between declarations don't change parse
packages/core/src/parser/expression-literals.test.ts,property-tests,Literal expressions are the smallest round-trip target.,round-trip on literal expressions; structural invariant: IntLit/FloatLit/StringLit/BoolLit/UnitLit shapes preserved
packages/core/src/parser/expression-operators.test.ts,property-tests,The classic property target -- precedence and associativity preservation across re-rendering.,operator precedence preservation: parens never silently disappear; round-trip on BinOp trees; structural invariant: BinOp shape preserved
packages/core/src/parser/expression-control-flow.test.ts,property-tests,If/match are recursive and benefit from random nesting.,round-trip on control-flow expressions; structural invariant: If has condition/then/else_; Match has expr+cases
packages/core/src/parser/expression-functions.test.ts,property-tests,Function application chains generalize to property tests.,round-trip on App expressions; left-associativity: f(a)(b) parses the same as f(a)(b)
packages/core/src/parser/expression-lists.test.ts,property-tests,List literals; trailing-comma equivalence applies directly.,round-trip on list literals; trailing-comma equivalence
packages/core/src/parser/expression-records.test.ts,property-tests,Record literals + spreads + updates; round-trip and trailing-comma both fire.,round-trip on record literals; trailing-comma equivalence
packages/core/src/parser/expression-unary-postfix.test.ts,property-tests,Unary operators have a bounded shape; round-trip catches mis-parses.,round-trip on UnaryOp expressions; structural invariant: UnaryOp shape preserved
packages/core/src/parser/operator-edge-cases.test.ts,property-tests,Edge cases in operator parsing -- precedence preservation property generalizes the bug surface.,operator precedence preservation; round-trip on operator expressions
packages/core/src/parser/operator-sections.test.ts,fixed-only,Tests rejection of operator-section syntax (banned in vibefun); pure error-only suite.,n/a
packages/core/src/parser/lambda-annotations.test.ts,property-tests,Lambdas with type annotations; round-trip + structural invariants.,round-trip on annotated lambdas; structural invariant: Lambda has params with optional type
packages/core/src/parser/lambda-destructuring.test.ts,property-tests,Lambda parameters can be destructuring patterns; round-trip on these is high-value.,round-trip on destructuring lambdas; structural invariant: pattern-bound names non-empty
packages/core/src/parser/lambda-precedence.test.ts,property-tests,Lambda body precedence is a precedence-preservation problem.,round-trip on lambdas with operator bodies; precedence preservation in lambda bodies
packages/core/src/parser/lambda-return-type.test.ts,property-tests,Return-type annotations on lambdas; structural invariant generalizes.,round-trip on return-type-annotated lambdas; structural invariant: Lambda.returnType preserved
packages/core/src/parser/patterns.test.ts,property-tests,Pattern parsing -- round-trip + non-empty pattern names are strong properties.,round-trip on patterns; structural invariant: pattern-bound names are non-empty strings
packages/core/src/parser/pattern-guards.test.ts,property-tests,Match cases with guards; round-trip applies.,round-trip on guarded match cases; structural invariant: MatchCase.guard preserved when present
packages/core/src/parser/pattern-type-annotations.test.ts,property-tests,Type-annotated patterns; structural invariant + round-trip.,round-trip on type-annotated patterns; structural invariant: TypeAnnotatedPattern shape
packages/core/src/parser/nested-or-patterns.test.ts,property-tests,Or-patterns with nesting; round-trip catches associativity bugs.,round-trip on nested or-patterns; structural invariant: OrPattern flattens or nests consistently
packages/core/src/parser/types.test.ts,property-tests,Type expression parsing; round-trip on type expressions is a strong property.,round-trip on type expressions; structural invariant: TypeApp/FunctionType/RecordType shapes
packages/core/src/parser/tuple-types.test.ts,property-tests,Tuple types with arity; round-trip and structural invariant.,round-trip on tuple types; structural invariant: TupleType.elements arity preserved
packages/core/src/parser/tuples.test.ts,property-tests,Tuple expressions; round-trip and trailing-comma equivalence.,round-trip on tuple expressions; structural invariant: Tuple.elements arity preserved
packages/core/src/parser/recursive-types.test.ts,property-tests,Self-referencing type definitions; round-trip + structural invariant.,round-trip on recursive type definitions; structural invariant: TypeDecl with mutual recursion preserved
packages/core/src/parser/external-types.test.ts,property-tests,External type declarations; round-trip + structural invariant.,round-trip on external type declarations; structural invariant: ExternalTypeDecl shape
packages/core/src/parser/external-generics.test.ts,property-tests,External declarations with generics; round-trip on type params.,round-trip on generic external declarations; structural invariant: ExternalDecl.typeParams preserved
packages/core/src/parser/opaque-types.test.ts,property-tests,Opaque type declarations; round-trip and structural invariant.,round-trip on opaque types
packages/core/src/parser/import-namespace.test.ts,fixed-only,Tests namespace import fixture patterns -- specific module-level scenarios that don't generalize.,n/a
packages/core/src/parser/mixed-imports.test.ts,fixed-only,Tests specific import patterns mixing types and values -- fixture-driven.,n/a
packages/core/src/parser/overloading.test.ts,fixed-only,External overloading uses specific fixture patterns; not amenable to property generation.,n/a
packages/core/src/parser/multi-line-variants.test.ts,property-tests,Multi-line variant declarations; whitespace invariance is the natural property.,round-trip on variant type declarations; whitespace invariance: line breaks between constructors don't change parse
packages/core/src/parser/multiple-spreads.test.ts,property-tests,Multiple spread elements in records/lists; structural invariant generalizes.,round-trip on records/lists with multiple spreads; structural invariant: spread positions preserved
packages/core/src/parser/keyword-field-names.test.ts,property-tests,Records that use keywords as field names; round-trip and structural invariant.,round-trip on records with keyword field names; structural invariant: field name preserved
