path,disposition,justification,proposed_properties
packages/core/src/lexer/lexer.test.ts,property-tests,"Top-level lexer tests cover every token category; round-trip and crash-oracle properties augment fixed examples.","round-trip lex(render(token)) for each kind; crash-oracle on any well-formed token stream"
packages/core/src/lexer/lexer-integration-advanced.test.ts,property-tests,"Composite multi-feature tests; token-stream round-trip + crash-oracle generalize beyond hand-written cases.","token-stream round-trip; crash-oracle on rendered token streams"
packages/core/src/lexer/lexer-integration-features.test.ts,property-tests,"Tests interactions between literals/operators/keywords; token-stream round-trip applies.","token-stream round-trip; whitespace invariance"
packages/core/src/lexer/lexer-integration-realistic.test.ts,property-tests,"Realistic-code samples; crash-oracle on rendered streams plus ws-invariance add coverage.","crash-oracle on rendered token streams; whitespace invariance"
packages/core/src/lexer/lexer-integration-syntax.test.ts,property-tests,"Syntax-shape tests; token-stream round-trip and ws-invariance apply.","token-stream round-trip; whitespace invariance"
packages/core/src/lexer/identifiers.test.ts,property-tests,"Identifier rules generalize to every valid identifier string; non-keyword guarantee is a property.","identifier round-trip; identifier non-overlap with keyword/reserved"
packages/core/src/lexer/reserved-keywords.test.ts,property-tests,"Every reserved keyword should produce VF1500 — a crash-oracle property over the full set.","crash-oracle: any reserved keyword input throws VF1500"
packages/core/src/lexer/numbers-edge-cases.test.ts,property-tests,"Number format determinism generalizes; underscore separators and scientific notation are property-friendly.","integer format determinism for safe integers; scientific notation parses to numeric value"
packages/core/src/lexer/numbers-formats.test.ts,property-tests,"Hex/binary/decimal share the determinism property; round-trip on any safe integer.","decimal/hex/binary round-trip for safe integers; underscore-stripping invariance"
packages/core/src/lexer/numbers-location.test.ts,fixed-only,"Tests are about specific location fields (line/column/offset) for hand-picked inputs; doesn't generalize to a property without re-implementing line tracking.",
packages/core/src/lexer/operators-edge-cases.test.ts,property-tests,"Maximal-munch and adjacency edge cases are properties: any sequence of operators round-trips.","operator round-trip; maximal-munch invariance"
packages/core/src/lexer/operators-invalid.test.ts,fixed-only,"Each test asserts an exact error message for a specific invalid character; the entire file is regression-style for VF1400.",
packages/core/src/lexer/operators-multi-char.test.ts,property-tests,"Multi-char operator tokens are exactly the round-trip target (==, !=, ::, etc.).","multi-char operator round-trip; longest-match invariance"
packages/core/src/lexer/operators-punctuation.test.ts,property-tests,"Single-char punctuation tokens round-trip cleanly.","punctuation round-trip; single-char token determinism"
packages/core/src/lexer/strings.test.ts,property-tests,"String codepoint preservation through JSON.stringify is the canonical property; covers astral codepoints and escapes.","string literal codepoint preservation via JSON.stringify; round-trip"
packages/core/src/lexer/comments.test.ts,property-tests,"Comment-stripping invariance is a strong property: comments do not change the token stream.","comment-stripping invariance for line and block comments"
packages/core/src/lexer/whitespace-tracking.test.ts,property-tests,"hasLeadingWhitespace flag has a clear property: it is true iff whitespace precedes the token.","hasLeadingWhitespace iff non-empty whitespace precedes token; whitespace amount invariance for kind sequence"
packages/core/src/lexer/unicode-normalization.test.ts,property-tests,"NFC normalization is idempotent and equates composed/decomposed forms — both are properties.","NFC idempotence on identifier values; composed and decomposed forms produce the same identifier value"
packages/core/src/types/token.test.ts,fixed-only,"Tests two boolean predicates (isKeyword, isBoolLiteral) over fixed strings; properties would just enumerate the same sets.",
