path,disposition,justification,proposed_properties
packages/core/src/codegen/codegen.test.ts,fixed-only,Asserts exact strings in generator header/output and re-exports module shape; not generalizable as a property.,n/a
packages/core/src/optimizer/optimizer.test.ts,property-tests,Top-level optimizer entry; ideal for determinism + O0 identity + idempotence at module scope.,determinism: optimizer is a function; O0 identity: O0 returns input unchanged; idempotence: optimize(optimize(m)) == optimize(m) (structural)
packages/core/src/optimizer/optimizer.integration.test.ts,property-tests,Multi-pass integration; semantic preservation (run-before == run-after) and CoreUnsafe preservation are the headline properties; cap numRuns aggressively (compiles + runs JS).,semantic preservation via runnableProgramArb (cap numRuns 10); CoreUnsafe preservation: any CoreUnsafe subtree appears verbatim in optimized output; structural idempotence
packages/core/src/optimizer/passes/beta-reduction.test.ts,property-tests,Single pass; determinism and capture-avoidance generalize.,determinism: pass(e) is a function; idempotence on already-reduced shapes; CoreUnsafe preservation
packages/core/src/optimizer/passes/constant-folding.test.ts,property-tests,Confluent pass; idempotence is the canonical property; algebraic identities also generalize.,idempotence: fold(fold(e)) == fold(e); determinism; algebraic laws (x+0 -> x; x*1 -> x); CoreUnsafe preservation
packages/core/src/optimizer/passes/cse.test.ts,property-tests,CSE is currently a no-op; the trivial property is identity (cse(e) == e structurally).,no-crash oracle: cse does not throw on any optimizable expr; identity: cse(e) is structurally equal to e (current implementation)
packages/core/src/optimizer/passes/dead-code-elim.test.ts,property-tests,DCE is confluent and semantics-preserving; idempotence + CoreUnsafe preservation generalize.,idempotence: dce(dce(e)) == dce(e); determinism; CoreUnsafe preservation; no-crash oracle
packages/core/src/optimizer/passes/eta-reduction.test.ts,property-tests,Confluent pass; idempotence is canonical; capture-avoidance shows up in random nesting.,idempotence: eta(eta(e)) == eta(e); determinism; CoreUnsafe preservation
packages/core/src/optimizer/passes/inline.test.ts,property-tests,Inlining is deterministic and semantics-preserving; idempotence (with current heuristics) holds.,determinism: inline(e) is a function; idempotence on already-inlined shapes; CoreUnsafe preservation; no-crash oracle
packages/core/src/optimizer/passes/pattern-match-opt.test.ts,property-tests,Match optimization preserves semantics and is idempotent.,idempotence; determinism; CoreUnsafe preservation; no-crash oracle
packages/core/src/codegen/es2020/generator.test.ts,property-tests,The headline property is totality of generate on any well-typed Core module; structural invariants on output also generalize.,totality: generate(typedModule) does not throw on any well-typed Core module; determinism: generate is a function
packages/core/src/codegen/es2020/runtime-helpers.test.ts,fixed-only,Tests exact runtime helper strings/utilities; behavior is fixed.,n/a
packages/core/src/codegen/es2020/emit-declarations.test.ts,fixed-only,Asserts exact JS emission and pattern-name extraction; snapshot-style.,n/a
packages/core/src/codegen/es2020/emit-expressions.test.ts,fixed-only,Asserts exact JS emission strings for each expression form; snapshot-style.,n/a
packages/core/src/codegen/es2020/emit-operators.test.ts,property-tests,Operator precedence preservation is a textbook property; needsParens correctness generalizes.,operator precedence preservation: emitted JS for (a op1 b) op2 c retains parens when needed; determinism on operator emission
packages/core/src/codegen/es2020/emit-patterns.test.ts,fixed-only,Asserts exact destructuring/discriminant strings; reserved-word escaping is exact.,n/a
packages/core/src/codegen/es2020/rename-shadows.test.ts,property-tests,Structural invariant: after the pass no two top-level bindings share a JS identifier; idempotence applies.,structural invariant: top-level JS identifiers unique after pass; idempotence: rename(rename(m)) == rename(m); determinism
packages/core/src/codegen/es2020/reserved-words.test.ts,property-tests,The escapeIdentifier function is a textbook target: escape never returns a reserved word and is idempotent on safe inputs.,escapeIdentifier(reservedWord) is never a reserved word; determinism; idempotence on already-safe identifiers
packages/core/src/codegen/es2020/execution-tests/numeric.test.ts,property-tests,Generated integer/float pairs cross-checked against JS arithmetic semantics; cap numRuns 25 (spawns JS).,arithmetic over generated int pairs matches JS reference (cap numRuns 25); no-crash oracle on Add/Sub/Mul programs
packages/core/src/codegen/es2020/execution-tests/misc.test.ts,property-tests,Compile + run does not throw on simple generated programs; cap numRuns 10 (spawns JS).,no-crash oracle: compile-and-run on simple runnable expr arb does not throw (cap numRuns 10)
packages/core/src/codegen/es2020/execution-tests/user-defined-types.test.ts,fixed-only,Tests specific user-defined type fixtures; generation of well-typed user types is out of scope.,n/a
packages/core/src/codegen/es2020/execution-tests/float-arithmetic.test.ts,property-tests,Generated float ops cross-checked against JS Math; cap numRuns 25 (spawns JS).,float arithmetic over generated float pairs matches JS reference (cap numRuns 25)
packages/core/src/codegen/es2020/execution-tests/prefix-bang.test.ts,property-tests,Round-trip: ref(x) deref equals x for any int x; cap numRuns 10 (spawns JS).,round-trip: !(ref x) == x for generated ints (cap numRuns 10)
packages/core/src/codegen/es2020/execution-tests/operators.test.ts,property-tests,Compile + run on generated binary-op programs matches a reference evaluator; cap numRuns 25 (spawns JS).,operator semantics: generated BinOp programs run to value matching reference (cap numRuns 25)
packages/core/src/codegen/es2020/execution-tests/functions.test.ts,property-tests,Compile + run on generated lambda/application programs; cap numRuns 10 (spawns JS).,no-crash oracle: compile-and-run on simple lambda programs does not throw (cap numRuns 10)
packages/core/src/codegen/es2020/execution-tests/mutable-refs.test.ts,property-tests,ref / !ref / := round-trip preserves values; cap numRuns 10 (spawns JS).,round-trip: ref/deref/assign preserves values (cap numRuns 10)
packages/core/src/codegen/es2020/execution-tests/pattern-matching.test.ts,property-tests,Generated patterns match generated values consistently with a reference matcher; cap numRuns 10 (spawns JS).,reference-matcher consistency on generated patterns and values (cap numRuns 10)
packages/core/src/codegen/es2020/execution-tests/records.test.ts,fixed-only,Tests specific record fixtures; generating well-typed record programs is out of scope.,n/a
packages/core/src/codegen/es2020/execution-tests/module-reexports.test.ts,fixed-only,Filesystem-fixture-driven re-export tests; not amenable to property generation.,n/a
packages/core/src/diagnostics/registry.test.ts,property-tests,Registry totality is the canonical property: getDiagnostic on any code in DIAGNOSTIC_CODES never throws.,registry totality: getDiagnostic does not throw on any registered code; determinism on lookups
packages/core/src/diagnostics/diagnostic.test.ts,fixed-only,Tests exact error message/format strings; snapshot-style.,n/a
packages/core/src/diagnostics/factory.test.ts,property-tests,Factory should not throw on valid arguments; structural invariant on returned diagnostic shape.,no-crash oracle: factory does not throw for valid argument shapes; structural invariant: returned Diagnostic has code+message+severity
packages/core/src/diagnostics/warning-collector.test.ts,property-tests,Adding then querying preserves order; collector totality.,order preservation: collected warnings come back in insertion order; determinism on collect/query
packages/core/src/diagnostics/test-helpers.test.ts,fixed-only,Tests assertion helpers and exact-match expectations; not generalizable.,n/a
packages/core/src/diagnostics/codes/modules.test.ts,fixed-only,Tests exact module diagnostic codes/messages; snapshot-style.,n/a
