path,disposition,justification
packages/core/src/typechecker/unify.test.ts,property-tests,"Soundness: apply(σ, a) === apply(σ, b); Reflexivity: unify(t,t) succeeds with identity; Symmetry: unify(a, b) === unify(b, a) modulo renaming; Most-general: composition through mgu; Failure on incompatible primitives (Int vs String); occurs check violation; level updates on type variable unification"
packages/core/src/typechecker/types.test.ts,property-tests,"Type construction & fresh variable generation; Free type variables in structures (round-trip: freeVars is consistent across nesting); α-equivalence of types; Type equality structural invariant; Type formatting idempotence (typeToString outputs deterministic format)"
packages/core/src/typechecker/constraints.test.ts,property-tests,"Constraint solver determinism: solve(C) === solve(C); Empty constraint set yields empty subst; Consistency: apply(solve(C), c) satisfies all constraints; Chained constraint accumulation (transitive closure); Substitution composition associativity in constraint solving"
packages/core/src/types/environment.test.ts,property-tests,"TypeEnv lookups are consistent (addValue then lookupValue round-trip); Value/External/ExternalOverload binding invariants; Empty environment idempotence; Type/value map independence"
packages/core/src/typechecker/format.test.ts,fixed-only,Type pretty-printer exact-match format tests; thin testing value for property-based approach; snapshot-style regression oracles for display strings
packages/core/src/typechecker/infer-bindings-basic.test.ts,fixed-only,Fixed surface-program examples (let x = 42; identity function; polymorphic let); narrow regression coverage for specific let-binding scenarios
packages/core/src/typechecker/infer-bindings-errors-and-edges.test.ts,fixed-only,Error-message exact-match tests (VF codes); mutable ref enforcement (VF4018); ref aliasing hole prevention; specific edge cases tied to soundness invariants documented in CLAUDE.md
packages/core/src/typechecker/infer-bindings-recursive.test.ts,property-tests,"Recursive binding inference correctness: let rec f ... and g ... produces consistent types across all paths; Mutual recursion without cycles typechecks; Recursive reference resolution inside bound functions"
packages/core/src/typechecker/infer-functions.test.ts,fixed-only,Lambda param invariant guard (desugarer contract); narrow internal-bug regression; no broad algebraic properties
packages/core/src/typechecker/infer-operators.test.ts,property-tests,"Binary/unary operator type inference: op(Int, Int) -> Int consistent across all arithmetic/comparison ops; Operator soundness with primitives; Type-directed operator dispatch"
packages/core/src/typechecker/infer-patterns.test.ts,fixed-only,Variant constructor type inference (built-in Option/Result); narrow regression coverage
packages/core/src/typechecker/infer-primitives.test.ts,property-tests,"Literal inference round-trip: IntLit -> Int, StringLit -> String, BoolLit -> Bool, FloatLit -> Float; Primitive type preservation through inference pipeline"
packages/core/src/typechecker/infer-records.test.ts,property-tests,"Record inference structural invariant: empty record has empty field map; field types round-trip through inference; Record subtyping (width) is correctly rejected in invariant positions (App args)"
packages/core/src/typechecker/resolver.test.ts,fixed-only,Exact-match overload resolution by arity; error code VF4100 for undefined functions; narrow single-bug regressions tied to resolver contract
packages/core/src/typechecker/environment.test.ts,fixed-only,External overload detection and grouping (VF4801/VF4802 consistency checks); built-in type availability; exact-match validation errors; no broad algebraic properties
packages/core/src/typechecker/builtins.test.ts,fixed-only,Built-in type constructor validation (List<T>, Option<T>, Result<T, E> shape); variant constructor availability (Cons/Nil/Some/None/Ok/Err); narrow regression coverage
packages/core/src/typechecker/module-signatures/stdlib-sync.test.ts,fixed-only,"Cross-boundary sync test: stdlib runtime ↔ signature registry name agreement; filesystem-bound module signature layout; regression oracle for function set drift detection"
packages/core/src/typechecker/module-signatures/index.test.ts,fixed-only,"Module signature registry queries (getStdlibModuleSignature, getStdlibModuleNames); exact path assertions (@vibefun/std#Module); filesystem-bound stdlib layout; no algebraic properties"
packages/core/src/typechecker/module-import.test.ts,fixed-only,"Module import resolution from @vibefun/std; __std__ ambient binding pre-seeding; first-class Module type dispatch; narrow integration regression tests tied to phase 2.4"
packages/core/src/typechecker/module-type.test.ts,fixed-only,Module type structure queries; exports map consistency; narrow regression coverage
packages/core/src/typechecker/type-annotation-let.test.ts,fixed-only,Type annotation enforcement exact-match tests (VF4104 mismatch codes); surface-program examples; no broad algebraic properties
packages/core/src/typechecker/type-declarations.test.ts,fixed-only,User-defined type declaration registration; type alias/record/variant binding invariants; narrow regression coverage
packages/core/src/typechecker/patterns-checking.test.ts,fixed-only,Pattern type consistency checking (exhaustiveness excluded); specific variant/record pattern error codes; narrow regression oracle
packages/core/src/typechecker/patterns-exhaustiveness.test.ts,fixed-only,Exhaustiveness and reachability narrowing checks; narrow single-bug regressions; no broad algebraic properties
packages/core/src/typechecker/unsafe-enforcement.test.ts,fixed-only,"Integration test: external references outside unsafe block rejection (VF4805); context-threading in inferer; narrow regression oracle"
packages/core/src/typechecker/division-lowering.test.ts,fixed-only,Division operator lowering from generic Divide to IntDivide/FloatDivide across code contexts (top-level/lambda/match); narrow integration regression test
packages/core/src/typechecker/typechecker-basic.test.ts,fixed-only,Basic literal/function/external binding type checking; simple typeCheck pipeline validation; narrow regression coverage
packages/core/src/typechecker/typechecker-higher-order.test.ts,fixed-only,Higher-order function typeCheck (function-typed parameters/returns); narrow regression oracle
packages/core/src/typechecker/typechecker-pattern-matching.test.ts,fixed-only,Pattern matching typeCheck with match expressions; narrow regression oracle
packages/core/src/typechecker/typechecker-records.test.ts,fixed-only,Record construction/access/update typeCheck; narrow regression oracle
packages/core/src/typechecker/typechecker-recursion.test.ts,fixed-only,Recursive function typeCheck; narrow regression oracle
packages/core/src/typechecker/infer/let-binding-helpers.test.ts,fixed-only,"Unit tests for soundness helper invariants (enforceMutableRefBinding, computeBindingScheme, propagateSubstAcrossDeclarations); narrow internal contract regression; error code VF4018 exact-match"
